,station_name,lat,lon
0,WATERFRONT,49.2860754854493,-123.111738155627
1,BURRARD,49.2858601496754,-123.119972336831
2,GRANVILLE,49.2836376878638,-123.116404027665
3,STADIUM-CHINATOWN,49.2794416930032,-123.109564795656
4,MAINST-SCIENCEWORLD,49.2731779129851,-123.100606907519
5,BROADWAY,49.2618178476532,-123.069099402992
6,NANAIMO,49.2482722113354,-123.055871516595
7,29THAVENUE,49.2442425934484,-123.045940674179
8,JOYCE-COLLINGWOOD,49.2383938064,-123.031806717203
9,RUPERT,49.2607647789351,-123.032823831819
10,RENFREW,49.2588929116788,-123.045308458871
11,COMMERCIALDRIVE,49.2629362684988,-123.068453898483
12,VCC-CLARK,49.2657831997804,-123.078962252228
13,WATERFRONT,49.2856657680643,-123.113339268651
14,VANCOUVERCITYCENTRE,49.2817347083362,-123.119284088603
15,YALETOWN-/NROUNDHOUSE,49.2743622559558,-123.121890377366
16,OLYMPICVILLAGE,49.2663402332777,-123.115196678961
17,BROADWAY-CITYHALL,49.2627734692085,-123.114782181714
18,KINGEDWARD,49.2491228793651,-123.115336104396
19,OAKRIDGE-41STAVE,49.2334668118113,-123.116040675754
20,LANGARA-49THAVE,49.2263869203022,-123.116324861119
21,MARINEDRIVE,49.2095478744217,-123.117070775897
