DateTime,Location,Transaction,Product,Amount
Jul-30-2016 09:12 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Jul-30-2016 09:07 PM,Waterfront Stn,Tap in at Waterfront Stn,Stored Value,-2.1
Jul-29-2016 10:24 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Jul-29-2016 10:18 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Jul-29-2016 10:18 PM,Main Street Stn,Missing Tap out,Stored Value,0
Jul-29-2016 07:01 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Jul-28-2016 05:05 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,2.1
Jul-28-2016 05:04 PM,Waterfront Stn,Transfer at Waterfront Stn,Stored Value,-2.1
Jul-28-2016 04:19 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,2.1
Jul-28-2016 04:06 PM,Broadway-City Hall Stn,Tap in at Broadway-City Hall Stn,Stored Value,-4.2
Jul-26-2016 08:16 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Jul-26-2016 07:47 PM,YVR-Airport Stn,Tap in at YVR-Airport Stn,Stored Value,-7.1
Jul-15-2016 09:19 AM,YVR-Airport Stn,Tap out at YVR-Airport Stn,Stored Value,1.05
Jul-15-2016 08:51 AM,Olympic Village Stn,Tap in at Olympic Village Stn,Stored Value,-4.2
Jul-14-2016 08:10 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Jul-14-2016 08:00 PM,Broadway-City Hall Stn,Transfer at Broadway-City Hall Stn,Stored Value,0
Jul-14-2016 07:33 PM,Broadway-City Hall Stn,Tap out at Broadway-City Hall Stn,Stored Value,0
Jul-14-2016 07:23 PM,Yaletown-Roundhouse Stn,Tap in at Yaletown-Roundhouse Stn,Stored Value,-2.1
Jul-13-2016 02:41 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,2.1
Jul-13-2016 02:34 PM,Broadway-City Hall Stn,Transfer at Broadway-City Hall Stn,Stored Value,-2.1
Jul-13-2016 02:03 PM,Broadway-City Hall Stn,Tap out at Broadway-City Hall Stn,Stored Value,2.1
Jul-13-2016 01:57 PM,Vancouver City Centre Stn,Tap in at Vancouver City Centre Stn,Stored Value,-4.2
Jul-11-2016 11:02 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Jul-11-2016 10:54 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Jul-09-2016 04:04 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Jul-09-2016 03:59 PM,Olympic Village Stn,Tap in at Olympic Village Stn,Stored Value,-2.1
Jul-09-2016 12:50 PM,Broadway-City Hall Stn,Tap out at Broadway-City Hall Stn,Stored Value,0
Jul-09-2016 12:41 PM,Vancouver City Centre Stn,Tap in at Vancouver City Centre Stn,Stored Value,-2.1
Jul-07-2016 02:37 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,2.1
Jul-07-2016 02:30 PM,Broadway-City Hall Stn,Tap in at Broadway-City Hall Stn,Stored Value,-4.2
Jul-06-2016 11:23 PM,2-MACDONALD/DOWNTOWN,Tap in at Bus Stop 50072,Stored Value,-2.1
Jul-05-2016 10:41 PM,2-MACDONALD/DOWNTOWN,Tap in at Bus Stop 50072,Stored Value,-2.1
Jul-04-2016 07:55 PM,Commercial-Broadway Stn,Tap out at Commercial-Broadway Stn,Stored Value,0
Jul-04-2016 07:44 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Jun-30-2016 02:54 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,2.1
Jun-30-2016 02:45 PM,Broadway-City Hall Stn,Tap in at Broadway-City Hall Stn,Stored Value,-4.2
Jun-27-2016 10:19 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,0
Jun-27-2016 09:41 PM,YVR-Airport Stn,Tap in at YVR-Airport Stn,Stored Value,-7.1
Jun-23-2016 07:59 AM,YVR-Airport Stn,Tap out at YVR-Airport Stn,Stored Value,1.05
